trade_date,ts_code,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio_x,ma5,ma_v_5,ma20,ma_v_20,ma50,ma_v_50,close_y,turnover_rate_f,volume_ratio_y,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount,annualD,end_date,total_share,cap_rese,undistr_porfit,money_cap,trad_asset,accounts_receiv,inventories,amor_exp,total_cur_assets,fix_assets,intan_assets,deriv_assets,total_assets,lt_borr,st_borr,acct_payable,total_cur_liab,total_hldr_eqy_exc_min_int,comp_type,basic_eps,diluted_eps,total_revenue,total_cogs,sell_exp,admin_exp,fin_exp,operate_profit,total_profit,income_tax,n_income,n_income_attr_p,ebit_x,ebitda_x,rd_exp,workers_welfare,net_profit,n_cashflow_act,n_cashflow_inv_act,stot_cash_in_fnc_act,free_cashflow,depr_fa_coga_dpba,amort_intang_assets,decr_inventories,end_bal_cash,eps,dt_eps,total_revenue_ps,current_ratio,quick_ratio,cash_ratio,inv_turn,ar_turn,ca_turn,fa_turn,assets_turn,op_income,daa,ebit_y,ebitda_y,fcff,fcfe,netdebt,networking_capital,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,roe,roa,roic,debt_to_assets,assets_to_eqt
20230601,000001.SZ,11.6,11.68,11.5,11.59,11.6,-0.01,-0.0862,743022.93,861646.489,0.3829,0.95,11.828,752821.804,12.407,1030675.135,12.5288,990140.7382,11.59,0.8639,0.95,4.7583,0.5969,1.258,1.9672,22491459.1915,22491028.9151,192476,22307.76,168253,19513.89,207386,24039.34,249544,28937.91,184917,21445.87,205106,23789.6,158245,18371.69,120120,13923.24,-61427,-7073.7,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230531,000001.SZ,11.82,11.84,11.58,11.6,11.87,-0.27,-2.2746,1179586.71,1376758.357,0.6079,1.66,11.896,780766.078,12.464,1067437.2075,12.552,1006416.5624,11.6,1.3715,1.66,4.7624,0.5974,1.2591,1.9655,22510865.1097,22510434.462,313286,36576.37,207086,24197.23,374122,43660.26,248499,29009.95,328367,38321.61,502526,58620.48,163812,19117.59,221475,25848.18,-443411,-51710.94,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230530,000001.SZ,11.98,11.99,11.8,11.87,11.98,-0.11,-0.9182,763996.92,906316.374,0.3937,1.1,11.978,709698.912,12.5115,1080720.589,12.5764,1001160.678,11.87,0.8883,1.1,4.8732,0.6113,1.2884,1.9208,23034824.901,23034384.2297,195899,23241.13,108073,12823.95,220416,26159.47,184857,21939.15,196488,23313.21,300615,35669.63,151193,17917.83,170452,20198.91,-182133,-21549.99,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230529,000001.SZ,12.11,12.13,11.95,11.98,12.1,-0.12,-0.9917,566073.82,680275.578,0.2917,0.82,12.046,695772.4,12.531,1092725.4115,12.6,1005468.014,11.98,0.6582,0.82,4.9184,0.617,1.3003,1.9032,23248290.0012,23247845.2461,142806,17150.62,113874,13685.96,166864,20050.29,157933,18978.33,187656,22550.03,200555,24103.82,68748,8276.61,93710,11259.46,-76985,-9244.78,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230526,000001.SZ,11.93,12.13,11.84,12.1,11.93,0.17,1.425,511428.64,613772.897,0.2635,0.7,12.126,692423.206,12.538,1113984.7405,12.6178,1017128.0492,12.1,0.5946,0.7,4.9677,0.6232,1.3134,1.8843,23481161.0196,23480711.8095,111371,13324.85,145952,17532.15,133975,16046.86,177657,21320.28,155234,18647.68,129563,15546.81,109622,13211.15,57030,6831.31,26863,3332.48,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230525,000001.SZ,11.99,12.0,11.81,11.93,12.01,-0.08,-0.6661,882744.3,1050002.542,0.4549,1.28,12.174,727820.214,12.547,1153508.3495,12.6368,1026912.1756,11.93,1.0263,1.28,4.8979,0.6144,1.2949,1.9111,23151260.4102,23150817.5114,262602,31232.5,122598,14582.83,263924,31387.26,280989,33417.41,222661,26488.32,255496,30393.58,133558,15892.18,223662,26606.44,-171274,-20337.75,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230524,000001.SZ,12.2,12.21,12.01,12.01,12.21,-0.2,-1.638,824250.88,996600.578,0.4248,1.22,12.286,688708.728,12.5555,1182754.7305,12.661,1026397.2116,12.01,0.9583,1.22,4.9307,0.6185,1.3036,1.8984,23306507.7558,23306061.887,265885,32136.95,126431,15290.4,261864,31667.91,244984,29629.24,195997,23707.1,225654,27295.38,100505,12148.1,227182,27445.04,-257058,-31037.95,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230523,000001.SZ,12.38,12.41,12.21,12.21,12.38,-0.17,-1.3732,694364.36,852871.175,0.3578,0.94,12.382,674782.792,12.58,1187475.606,12.6848,1044633.4892,12.21,0.8073,0.94,5.0128,0.6288,1.3253,1.8673,23694626.1198,23694172.826,196782,24165.47,113392,13940.02,200038,24578.88,187614,23054.02,164713,20238.73,215751,26497.63,132831,16304.04,177607,21795.45,-287402,-35279.72,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230522,000001.SZ,12.31,12.45,12.31,12.38,12.34,0.04,0.3241,549327.85,679754.868,0.2831,0.68,12.464,735570.258,12.607,1193346.8085,12.7112,1052684.1602,12.38,0.6387,0.68,5.0826,0.6376,1.3438,1.8417,24024526.7291,24024067.1241,103098,12755.62,86477,10705.35,126059,15600.43,143791,17796.97,144829,17926.47,187035,23147.51,111327,13785.17,68009,8417.86,-43198,-5315.39,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230519,000001.SZ,12.43,12.44,12.32,12.34,12.49,-0.15,-1.201,688413.68,851165.594,0.3548,0.81,12.554,811369.814,12.6305,1216599.3235,12.7374,1067282.929,12.34,0.8004,0.81,5.0662,0.6355,1.3394,1.8476,23946903.0563,23946444.9363,182437,22551.65,145443,17990.39,196863,24339.37,186742,23092.77,204460,25288.67,189440,23429.55,104654,12936.87,166788,20603.84,-143350,-17682.92,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
